Country Name,Country Code,Indicator Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Gabon,GAB,"Enrolment in tertiary education, all programmes, both sexes (number)",,172,307,357,660,986,1014,1245,1284,1273,1663,,,2992,3228,,,4089,4050,4007,4085,,,,,,,,,7473,,9070,,10076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",GMB,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,,,,,,,1591,,,,1169,,,,,1530,,,,,,3312,5358,5001,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,140578,,,,,,,,,,148391,,,,168011,155033,163345,,130164,137046,140627,149142,155453,155058,174255,144991,141303,129926,95225,105696,110557,99376,112746,120923,127633,,,,,,,,,,,,,,,,,,,
Germany,DEU,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,,,2048627,2033702,2112642,2132162,2155728,2144169,2131907,,,,,,,,,,,,,,,,2780012.75,2912203.5,2977781,,,,,,,,,,,,,,,,,,,
Ghana,GHA,"Enrolment in tertiary education, all programmes, both sexes (number)",,5426,5783,6391,7466,8022,9079,,,,,,16161,,,,,,,,,13700,16095,19531,20338,,,,,,,,,,,119559,110184,140017,190273,203376,,285862,295344,354818,402142,417534,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,"Enrolment in tertiary education, all programmes, both sexes (number)",,85776,85001,91309,97131,111441,117246,122833,117892,120644,117407,121116,124694,137453,148515,167957,181901,197808,189173,187644,194419,283415,271718,299023,314002,296357,329185,363150,374122,387859,422317,478205,529233,561468,597007,646587,653003,602858,,,641844,660741,663698,659284,677429,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,153,614,,926,519,535,,,,,,,,,,,,,,,,,,,,,,,,,6689,,,,,,9236,,,,,,,,,,,,,,,,,,,
Guam,GUM,"Enrolment in tertiary education, all programmes, both sexes (number)",,2719,3068,3351,3430,3558,3800,3710,4343,4500,3168,3217,5127,,,,,7052,7300,7300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Enrolment in tertiary education, all programmes, both sexes (number)",15609,17114,19408,21878,20060,22881,25925,29234,34301,,,35898,,43852,45552,48283,51860,,,,,,,71567,77051,80228,,,,,,,111739,,,,,233885,,,,,,293721,,366674,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Enrolment in tertiary education, all programmes, both sexes (number)",,1974,,,,9816,12411,14241,19706,20739,,18270,13161,13182,12304,10664,8801,6753,5923,6245,5908,5366,5213,7398,7129,8096,7722,8151,8272,,,,,,17218,23788,42711,68261,80222,83887,98528,103192,101173,109454,117943,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,,,,,,,3122,3689,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Enrolment in tertiary education, all programmes, both sexes (number)",,1112,1232,1385,,,2852,,,2604,2491,2465,2746,2049,2111,2297,2328,,3700,,4665,,,,7503,6945,7680,8965,,,,,,4848,6933,7278,7370,7532,7306,7124,7939,8367,8857,,,,,,,,,,,,,,,,,,,,,,
